,Unnamed: 0,Name,ObjType,RA,DEC,Epoch,plx,pmRA,pmDE,SpType,GaiaEDR3
87,87,GJ_1245_2,LM,298.481925902,44.412906159,2016.0,214.5745,349.363004776,-480.322315107,M5.5,2.0790739286128215e+18
88,88,WISEP_J174124.25+255319.5,BD,265.352586,25.892878,2000.0,214.3,-495.0,-1472.0,T9  ,
89,97,HD_88230,* ,152.832928958,49.451988897,2016.0,205.3148,-1363.287186399,-505.770358875,K7.5e   ,8.23773494718932e+17
90,98,BD+44_2051_1,LM,166.342059744,43.530948561,2016.0,203.8876,-4406.469178827,938.526626689,M1  ,7.789478144026028e+17
91,99,BD+44_2051_2,LM,166.352089679,43.52590762,2016.0,203.8323,-4339.849578444,960.696130627,M5.5,7.789476082438643e+17
92,100,BD+20_2465,LM,154.898813701,19.869809905,2016.0,201.4064,-498.620360311,-43.427669082,M3  ,6.254536547027519e+17
93,110,EV_Lac,LM,341.702825452,44.331953323,2016.0,197.9573,-706.215810975,-458.919627416,M4  ,1.9342633337840369e+18
94,111,G_9-38_1,LM,134.559189679,19.762959843,2016.0,194.1443,-767.060491547,-100.176478316,M7  ,6.605979976961734e+17
95,112,G_9-38_2,LM,134.558691511,19.762578882,2016.0,196.2619,-937.132835654,-34.559036888,M7  ,6.605979976972748e+17
96,113,70_Oph_1,* ,271.364453818,2.495224096,2016.0,195.5674,206.525003106,-1107.491929164,K0  ,4.468557611984385e+18
97,114,70_Oph_2,* ,271.365911609,2.494198758,2016.0,195.8563,333.292098308,-1068.353909556,K4  ,4.468557611977675e+18
98,115,alf_Aql,* ,297.695827296,8.868321196,2000.0,194.95,536.23,385.29,A7  ,
99,116,2MASS_J15065257+7027247,BD,226.702636147,70.461619134,2016.0,193.9412,-1194.179224027,1042.19421361,T6  ,1.6951913322329907e+18
100,117,G_99-49,LM,90.015976442,2.70637408,2016.0,192.0135,309.146243714,-40.368430646,M3.5e   ,3.316364602541746e+18
101,119,G_254-29,LM,176.939407981,78.693297453,2016.0,190.3251,748.418288603,480.804300005,M4e ,1.1291497239131236e+18
102,125,HD_119850,LM,206.440565845,14.885052705,2016.0,183.9962,1776.006179566,-1455.155718006,M1.5,3.741297293732404e+18
103,126,G_175-34_1,LM,67.809190628,58.967979972,2016.0,181.2438,1300.364783603,-2046.105518897,M4e ,4.708264826373101e+17
104,127,G_175-34_2,WD,67.813891975,58.969481205,2016.0,181.273,1334.779692951,-1947.638150542,DC  ,4.7082648263731085e+17
105,129,HD_265866,LM,103.700129227,33.266408018,2016.0,179.0629,-726.672077836,-398.102378946,M3  ,9.390726133345792e+17
106,133,2MASSI_J1835379+325954,LM,278.90744885,32.994787159,2016.0,175.793,-72.650405249,-755.145622633,M8.5,2.091177593123254e+18
107,134,HD_36395,LM,82.867541115,-3.686527602,2016.0,175.3131,761.630901598,-2092.208719837,M1.5,3.209938366665771e+18
108,140,sig_Dra,* ,293.097598051,69.653451063,2016.0,173.4939,597.38423797,-1738.286102386,G9  ,2.2616142649310577e+18
109,141,Ross_47,LM,85.547707595,12.482359918,2016.0,172.6762,1997.341870123,-1569.354946897,M4  ,3.340477717172814e+18
110,148,BR_Psc,LM,357.306603823,2.396917944,2016.0,169.2163,992.720389029,-968.806466327,M1  ,2.7396892393116605e+18
111,149,HD_180617_1,LM,289.227651504,5.162976303,2016.0,169.0615,-579.080529659,-1332.867716354,M3  ,4.2933188231820815e+18
112,151,HD_180617_2,LM,289.237373697,5.144373315,2016.0,168.9537,-598.761267442,-1366.063496986,M8  ,4.2933157651654897e+18
113,153,eta_Cas_1,* ,12.285227382,57.812728126,2016.0,168.8322,1078.60916667,-551.133420219,F9  ,4.250400009625596e+17
114,154,eta_Cas_2,* ,12.281184764,57.815739189,2016.0,168.7186,1144.693394441,-469.66761853,K7e ,4.250400009624978e+17
115,158,HD_155876,LM,258.034215984,45.659059737,2016.0,167.29,348.59,-1624.84,M3  ,1.3646688254334487e+18
117,160,YZ_CMi,LM,116.165835931,3.550484445,2016.0,166.9769,-347.781601335,-445.701779935,M4e ,3.1369526860352507e+18
118,169,QY_Aur,LM,107.505143404,38.52526942,2016.0,165.2147,-439.420446728,-944.793489603,M5e ,9.466329240074e+17
120,172,SIMP_J013656.5+093347.3,BD,24.241249788,9.563070455,2016.0,163.4478,1238.243937403,-16.155571797,T2  ,2.5729010219577897e+18
121,173,2MASSI_J0937347+293142,BD,144.395332,29.528053,2000.0,162.85,973.0,-1298.0,T7  ,
122,175,WISE_J220905.73+271143.9,BD,332.275805,27.193641,2015.4,161.7,1202.2,-1365.4,Y0  ,
123,176,EGGR_372,WD,267.016122905,70.881573814,2016.0,160.9952,-1266.387170798,1108.80071047,DQ9P,1.6389793843786967e+18
124,178,EQ_Peg_1,LM,352.970123755,19.936992827,2016.0,159.6634,578.008659359,-59.768604899,M3.5e   ,2.824770686019004e+18
125,179,EQ_Peg_2,LM,352.971675303,19.937313747,2016.0,159.9085,552.349411962,20.274608198,M4e ,2.824770686019004e+18
126,184,WISE_J140518.39+553421.3,BD,211.32062,55.572896,2015.7,158.2,-2334.8,226.8,Y0(pec?),
127,185,MCC_541_1,LM,138.583561615,52.684080167,2016.0,157.8879,-1545.78745206,-569.052823523,M0  ,1.022456139210632e+18
128,186,MCC_541_2,LM,138.591311797,52.683429442,2016.0,157.8825,-1573.040224455,-659.906000812,M0  ,1.0224561048508928e+18
129,188,LP_368-128,LM,135.095643322,21.832062597,2016.0,157.2686,-514.942246299,-592.253397978,M6.5,6.851039128570726e+17
130,189,2MASS_J15031961+2525196,BD,225.832142259,25.42464449,2016.0,155.7758,87.414378261,557.780130236,T5.5,1.267906854386665e+18
131,191,EGGR_45,WD,88.792095558,-4.178927092,2016.0,155.2373,535.248552979,-2317.011340219,DZ11,3.022956969731332e+18
132,192,GL_Vir,LM,184.741747345,11.126952372,2016.0,154.6999,-1269.770736627,203.4441382,M4.5e   ,3.907283967108055e+18
133,193,G_202-48,LM,246.355888333,54.303338666,2016.0,154.3503,432.23023589,-171.651926789,M1.5,1.428427236986209e+18
134,201,HD_219134,* ,348.337733955,57.169666443,2016.0,152.864,2074.413511999,294.45197728,K3  ,2.009481748875807e+18
135,206,WISEA_J082507.37+280548.2,BD,126.280525,28.096445,2015.6,152.6,-66.7,-235.8,Y0.5,
136,207,WISE_J041022.71+150248.4,BD,62.596159,15.043733,2015.1,151.3,960.3,-2219.4,Y0  ,
137,208,2MASS_J05212615+1025328,BD,80.359997,10.423818,2016.8,150.2,223.7,-438.3,T7.5,
138,210,Ross_104,LM,165.015678602,22.831702303,2016.0,148.1986,-426.957722158,-282.298403195,M2.5,3.988987164339438e+18
139,211,ksi_Boo_1,* ,222.848051474,19.10026964,2016.0,148.0695,127.467875777,-40.568645497,G7  ,1.2370907389163927e+18
140,212,ksi_Boo_2,* ,222.846642665,19.101104108,2016.0,148.1793,133.376045177,-182.059184408,K5  ,1.237090738916393e+18
141,213,Ross_619,LM,122.994682561,8.750401522,2016.0,147.7218,1069.811738087,-5094.220103378,M4.5e   ,3.098328182579892e+18
142,214,G_41-14,LM,134.73635,8.472451192,2016.0,147.66,371.2,-323.4,M4e ,5.852502525509066e+17
145,217,GJ_829,LM,322.408079882,17.644977803,2016.0,147.4958,1007.039634716,378.400007153,M3e ,1.784473016438653e+18
147,221,2MASS_J19284155+2356016,BD,292.17175326,23.935004798,2016.0,146.4067,-246.999071864,240.429711901,T6  ,2.0198025552839409e+18
148,222,WISEPA_J025409.45+022359.1,BD,43.53286,2.398985,2000.0,146.1,2578.0,309.0,T8  ,
149,227,HD_216899,LM,344.140221731,16.552169372,2016.0,145.6234,-1034.73341138,-284.130867125,M1.5e   ,2.828928008202069e+18
150,228,CWISE_J105512.11+544328.3,BD,163.799544,54.724527,2016.6,145.0,-1518.7,-222.7,sdT8?   ,
151,229,Wolf_358,LM,162.712964068,6.804489538,2016.0,143.5391,-856.28949653,-818.583406902,M4  ,3.8646154598862223e+18
152,230,BD+01_2447,LM,157.228783426,0.837746888,2016.0,142.0951,-602.991978045,-731.881996424,M2  ,3.855208897392952e+18
