,Unnamed: 0,Name,ObjType,RA,DEC,Epoch,plx,pmRA,pmDE,SpType,GaiaEDR3
210,326,Wolf_489,WD,204.116079408,3.674479287,2016.0,119.7566,-3735.839244618,-1113.581136853,DA  ,3.713594960831606e+18
211,328,G_227-29,LM,275.603837958,62.044993875,2016.0,119.7519,-955.101711187,-1235.608955366,M4  ,2.159844052779e+18
212,329,G_130-4,LM,355.781509156,36.536310377,2016.0,119.5794,941.840666281,-151.27152378,M4  ,2.8794554809426294e+18
213,335,bet_CVn,* ,188.431428383,41.358776694,2016.0,118.0266,-704.702119354,292.154659921,G0  ,1.5340119985725558e+18
214,336,Ross_64,LM,96.174688909,23.43077857,2016.0,117.7263,550.91787881,-508.332904134,M4  ,3.377365057060448e+18
215,345,Wolf_461,LM,195.135474503,5.686566854,2016.0,117.0327,-940.630492903,227.749615882,M4.5e   ,3.705324881045029e+18
216,346,G_89-32,LM,114.105717188,7.077276549,2016.0,116.6,241.7,-298.3,M4.5,3.142052633276822e+18
218,350,CD_Cet,LM,48.353258238,4.775200171,2016.0,116.2678,1741.874610533,86.494384351,M4.5e   ,3179036008830848.0
219,353,NLTT_40406,LM,232.625560005,9.434551385,2016.0,116.0425,-178.853035043,183.898017772,M5.5,1.165479168642901e+18
220,354,2MASS_J16471580+5632057,BD,251.815856,56.534924,2000.0,116.0,-166.0,242.0,L9pec   ,
221,355,LP_666-9,LM,133.39836837,-3.493164429,2016.0,115.4876,-516.605397898,-199.651846456,M9  ,5.761985432616501e+18
222,356,G_19-7,LM,254.276047687,-4.350649324,2016.0,114.9158,481.630189693,-376.219589154,M4  ,4.365609170043181e+18
223,359,chi01_Ori,* ,88.594824195,20.275852148,2016.0,114.9497,-179.013530124,-90.729936219,G0  ,3.3990632357550577e+18
225,362,ksi_UMa,* ,169.543380116,31.5264149,2016.0,114.4867,-339.398,-607.892,F8.5,
230,367,LSPM_J0036+1821,BD,9.071354641,18.353410138,2016.0,114.4735,901.582121872,124.353713356,L3.5,2.794735086363871e+18
231,371,MCC_135,LM,177.77908195,35.273139643,2016.0,114.0854,-273.155609216,253.403997429,M1.5,4.031586157514097e+18
232,372,WISENF_J193656.08+040801.2,BD,294.232524,4.131561,2017.9,113.9,-428.6,-1102.1,Y0? ,
233,376,HU_Del,LM,307.454337667,9.689503661,2016.0,113.4,669.342,101.33,M4.5,1.7528057415311736e+18
235,381,BD-05_5715,LM,332.423151566,-4.640834815,2016.0,113.4447,1132.583265453,-22.157306526,M3.5,2.627117287488522e+18
236,384,GJ_745_1,LM,286.770910752,20.886487518,2016.0,113.2521,-478.26693659,-349.087961301,M2  ,4.519789321942643e+18
237,385,GJ_745_2,LM,286.80272964,20.875538401,2016.0,113.2228,-480.754141129,-332.498230715,M2  ,4.519789081415296e+18
238,389,G_111-47,LM,119.554208317,41.300642504,2016.0,112.9927,216.866224475,-687.614851836,M3.5,9.222250028203692e+17
239,398,2MASSI_J0727182+171001,BD,111.826025,17.167002,2000.0,112.5,1046.0,-767.0,T8  ,
240,401,G_113-20,LM,124.031583055,1.302842727,2016.0,111.8698,-376.195843064,60.538113008,M2  ,3.089711447388932e+18
241,402,G_193-27,LM,105.987162885,52.697727298,2016.0,110.8263,675.774945351,-921.879776966,M5e ,9.815486373013745e+17
243,404,SZ_UMa,LM,169.988103682,65.847297936,2016.0,110.2305,-2946.717969616,181.947395294,M1  ,1.057318835428596e+18
245,411,HD_115953,LM,199.941266748,47.77792464,2016.0,109.9837,226.463,-23.813,M2  ,1.552921051659353e+18
248,414,LP_469-206,LM,34.126686287,13.58495936,2016.0,109.95,504.215607703,-433.142893828,M5e ,7.420398246985882e+16
249,416,V374_Peg,LM,330.306566079,28.30710892,2016.0,109.8548,372.797304742,42.797146417,M3.5e   ,1.893189736896881e+18
250,417,2MASS_J06523073+4710348,BD,103.12722334,47.176956714,2016.0,109.7651,-117.68267454,132.347963079,L4.5,9.546979448757553e+17
251,420,kap01_Cet,* ,49.841600693,3.370616191,2016.0,107.8023,269.297939764,93.956522121,G5  ,3.2693626451155845e+18
252,421,2MASS_J14162408+1348263_1,BD,214.099759,13.810089,2000.0,109.7,86.670165786,127.952824198,T7.5,
253,422,2MASS_J14162408+1348263_2,BD,214.100704871,13.807844591,2016.0,107.7375,86.670165786,127.952824198,L6  ,1.2271336990537344e+18
254,426,2MASS_J03552337+1133437,BD,58.848402427,11.559360051,2016.0,109.1381,223.181835917,-631.303474856,L5.5,3.3033492023646484e+18
255,428,CF_UMa,* ,178.267353208,37.692826947,2016.0,109.0296,4002.654640989,-5817.800194049,K1  ,4.034171629042489e+18
256,429,Ross_1015,LM,205.679693362,33.286923866,2016.0,108.7903,-111.804655418,-712.408340513,M3.5,1.470462322431835e+18
257,430,bet_Com,* ,197.964281613,27.882105373,2016.0,108.725,-800.720102075,882.301323785,G0  ,1.4602294425892234e+18
258,431,2MASS_J17502484-0016151,BD,267.60161205,-0.269954648,2016.0,108.5809,-397.497222783,197.418999939,L5.5,4.371611781971073e+18
260,437,LP_469-67,LM,30.564635816,10.335957901,2016.0,108.2582,-673.639007789,-280.585052614,M5.5,2.571094283835173e+18
261,439,G_112-50,LM,117.978968371,-0.006769121,2016.0,107.8488,263.542912898,-756.863381777,M4.5,3.08571699036864e+18
262,443,WISE_J121756.90+162640.8,BD,184.48871,16.442057,2017.9,107.4,754.9,-1249.8,T9  ,
264,445,2MASS_J00113182+5908400,LM,2.874734924,59.139226581,2016.0,107.3873,-905.721767415,-1166.826310611,M5.5,4.230271044075766e+17
265,448,2MASS_J18212815+1414010,BD,275.368366521,14.232473246,2016.0,107.0339,227.571358286,-247.228687616,L5  ,4.485574134969389e+18
266,450,Ross_837,LM,209.556506424,12.582063477,2016.0,106.8404,-329.602982201,720.342182055,M3.5,3.7277486304183767e+18
267,451,WISEPA_J045853.89+643452.9,BD,74.725487,64.581763,2016.5,106.7,210.4,289.6,T8.5,
269,456,GJ_748,LM,288.068738368,2.884047817,2016.0,106.2794,1760.987,-554.092,M3.5e   ,4.2682260780652416e+18
271,464,G_222-11,LM,92.584321747,82.100816291,2016.0,105.6903,50.263181283,-1336.246156589,M2  ,1.1433216728822746e+18
272,466,HD_285968,LM,70.735481738,18.953202926,2016.0,105.4275,656.646958303,-1116.593541367,M2  ,3.409711211681796e+18
273,469,G_234-45,LM,130.33159039,59.491658651,2016.0,105.2935,-260.27618577,-1279.562233545,M5.5,1.040827088726735e+18
274,475,G_192-15,LM,90.622107585,49.861821037,2016.0,104.959,67.381995841,-849.987642056,M5  ,9.703547499371407e+17
275,476,G_144-25,LM,310.147188094,15.502590198,2016.0,104.919,1320.678689221,662.14666873,M4.5,1.8106164480108795e+18
276,477,BD+43_2796,LM,265.98324231,43.375930238,2016.0,104.9147,10.337355188,-603.198296057,M2.5,1.3490478575809946e+18
277,478,G_42-24,LM,148.478239712,20.948079179,2016.0,104.7638,-345.972642786,393.248968346,M4e ,6.280802466336115e+17
278,481,Wolf_1069,LM,306.52431726,58.575379715,2016.0,104.4415,261.037647533,542.905592839,M5  ,2.1883185177203213e+18
279,482,61_UMa,* ,175.262500506,34.199939575,2016.0,104.4252,-12.521605057,-381.195871482,G8  ,4.02585073120182e+18
280,486,Wolf_227,LM,58.175979436,17.01495663,2016.0,103.5008,433.1829947,-645.368618669,M5  ,4.35741311430391e+16
282,488,2MASS_J14053729+8350248,BD,211.37927528,83.842705601,2016.0,103.4474,-623.668383987,561.3087954,L8  ,1.7257594047525806e+18
283,493,CFBDS_J005910-011401,BD,14.793594375,-1.233483444,2000.0,103.2,884.704,44.0432,T9  ,
284,501,G_48-20,LM,142.683243464,0.320223244,2016.0,100.9033,-569.016312618,-549.386096601,M3.5e   ,3.840711729206828e+18
285,503,WISE_J223617.59+510551.9,BD,339.07252,51.097653,2000.0,102.8,729.3,323.5,T5.5,
286,504,2MASS_J20304235+0749358,BD,307.679355424,7.826109075,2016.0,102.7966,664.046534979,-111.659474221,T1.5,1.749030362195988e+18
287,505,G_119-36,LM,162.436287337,35.542869572,2016.0,102.7521,-700.864332382,-1048.668777606,M5  ,7.505862169068471e+17
289,510,Ross_905,LM,175.550675471,26.702953954,2016.0,102.3014,895.087523831,-813.549839919,M2.5,4.017860992519745e+18
290,512,2MASSW_J1515008+484742,BD,228.747225645,48.801312332,2016.0,101.9645,-938.04388851,1464.629577793,L6  ,1.5892500883628278e+18
291,513,HD_151288,* ,251.276247701,33.510924834,2016.0,101.5615,-39.938511514,382.224115496,K5  ,1.3144388393107968e+18
292,514,CFBDS_J213926+022023,BD,324.863629024,2.340170018,2016.0,101.5,485.9,124.8,L8.5,2.694418806541412e+18
294,516,BD+61_195_1,LM,15.668950821,62.345451223,2016.0,101.4238,731.087994776,90.531735562,M1.5,5.228633099649875e+17
295,518,BD+61_195_2,LM,15.839644585,62.365892592,2016.0,101.3724,730.398009579,85.966704309,M5  ,5.228642720413513e+17
296,519,2MASS_J07584037+3247245,BD,119.666932,32.78851,2016.2,101.3,-227.4,-330.2,T2.5,
297,520,BD+66_34,LM,8.143030817,67.234328361,2016.0,101.0864,1748.318945786,-347.589292795,M2  ,5.279564883402296e+17
300,523,12_Oph,* ,249.091402301,-2.325961282,2016.0,101.0719,456.058303194,-309.224097292,K1  ,4.358031335898505e+18
301,526,G_203-42,LM,255.850402489,51.40906417,2016.0,100.9274,124.410039875,610.145151006,M5  ,1.412645602995522e+18
302,527,HD_232979,LM,69.422783871,52.891502972,2016.0,100.9161,304.125465436,-475.146036889,M0  ,2.7285556576365248e+17
303,529,G_184-19,LM,280.293133688,24.787728363,2016.0,100.685,505.344316914,87.0449046,M5e ,4.535928365908541e+18
306,532,BD+16_2708_1,LM,223.623108603,16.100530965,2016.0,100.5243,279.117449001,-117.908180541,M1  ,1.1878516532871286e+18
307,533,BD+16_2708_2,LM,223.624035838,16.101563077,2016.0,100.5243,279.117449001,-117.908180541,M8.5,1.1878516532867994e+18
309,536,LP_98-79,LM,217.650335794,59.72427393,2016.0,100.311,-808.201789751,157.396682546,M6.5,1.6180103232470267e+18
310,537,WISE_J182831.08+265037.7,BD,277.131096,26.844069,2015.2,100.3,1016.5,169.3,>= Y2   ,
311,538,G_36-24,LM,38.405136661,24.924131877,2016.0,100.1465,48.39169781,-675.789708606,M3.5e   ,1.021626390190336e+17
312,539,HD_260655,LM,99.291431465,17.566316518,2016.0,100.0232,-764.414139548,337.883234214,M0e ,3.359074685047633e+18
313,540,CWISE_J061741.79+194512.8,BD,94.4241519,19.7535668,2015.5,133.0,-103.8,-59.8,L6.5?   ,
315,542,ULAS_J133553.45+113005.2,BD,203.97255,11.501316,2000.0,99.9,-183.38,-214.17,T9  ,
316,545,WISE_J033605.05-014350.4,BD,54.020761,-1.732628,2015.5,99.8,-251.5,-1216.1,Y0  ,
317,546,2MASS_J13243559+6358284,BD,201.144281,63.974174,2016.4,99.7,-364.4,-72.4,T2pec   ,
318,548,WISEPA_J181210.85+272144.3,BD,273.0451,27.362316,2012.7,98.5,140.3,-322.2,T8.5,
319,550,WISE_J161441.46+173935.5,BD,243.673745,17.659099,2016.4,98.2,550.6,-477.1,T9  ,
320,552,G_100-28,LM,85.107595409,24.800548287,2016.0,97.6,107.0,-376.0,M7  ,3.4287559252163533e+18
322,554,WISE_J094305.98+360723.5,BD,145.776141,36.122541,2015.4,97.1,669.5,-501.2,T9.5,
323,555,2MASS_J12373919+6526148,BD,189.413318,65.437447,2000.0,96.07,-1002.0,-525.0,T7  ,
324,557,WISEA_J083011.95+283716.0,BD,127.549578,28.617508,2017.1,90.6,-233.3,-2040.8,>Y1 ,
