2021-03-19 00:38:44.988839: Observing: GPS-BIIF-3---PRN-24-
2021-03-19 01:32:07.359974 [0.0, 1.1111111111111112]
2021-03-19 01:32:41.546074 [0.0, 0.0]
2021-03-19 01:33:15.457771 [0.0, -1.1111111111111112]
2021-03-19 01:33:49.344494 [0.0, -4.444444444444445]
2021-03-19 01:34:23.323113 [-4.444444444444445, 0.0]
2021-03-19 01:34:57.312773 [-1.1111111111111112, 0.0]
2021-03-19 01:35:34.545934 [0.0, 0.0]
2021-03-19 01:36:05.886166 [1.1111111111111112, 0.0]
2021-03-19 01:36:36.593181 [4.444444444444445, 0.0]
2021-03-19 01:37:10.576075: Observing: GPS-BIIRM-5--PRN-29-
2021-03-19 01:37:10.576122: Az, el, state: 48.42, 62.07, Setting
2021-03-19 01:37:11.790592 [0.0, 4.444444444444445]
2021-03-19 01:37:48.259045 [0.0, 1.1111111111111112]
2021-03-19 01:38:22.301398 [0.0, 0.0]
2021-03-19 01:38:56.348983 [0.0, -1.1111111111111112]
2021-03-19 01:39:33.324830 [0.0, -4.444444444444445]
2021-03-19 01:40:07.332067 [-4.444444444444445, 0.0]
2021-03-19 01:40:41.337106 [-1.1111111111111112, 0.0]
2021-03-19 01:41:15.344978 [0.0, 0.0]
2021-03-19 01:41:49.344851 [1.1111111111111112, 0.0]
2021-03-19 01:42:23.313433 [4.444444444444445, 0.0]
2021-03-19 01:42:54.310097 [0.0, 4.444444444444445]
2021-03-19 01:43:31.480502 [0.0, 1.1111111111111112]
2021-03-19 01:44:05.420457 [0.0, 0.0]
2021-03-19 01:44:39.320077 [0.0, -1.1111111111111112]
2021-03-19 01:45:10.774663 [0.0, -4.444444444444445]
2021-03-19 01:45:44.669464 [-4.444444444444445, 0.0]
2021-03-19 01:46:23.939250 [-1.1111111111111112, 0.0]
2021-03-19 01:46:55.795186 [0.0, 0.0]
2021-03-19 01:47:30.108568 [1.1111111111111112, 0.0]
