,Drift_Rate,SNR,Index,Uncorrected_Frequency,Corrected_Frequency,freq_start,freq_end,Coarse_Channel_Number,Full_number_of_hits,dat_name,fil_0000,fil_0001,normalized_dr,SNR_ratio_0001,0000_x_0001,SNR_ratio,x
0,1.017044,13.378654,39048,6599.999743,6599.999743,6600.003778,6599.995741,31,327,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,0.1540974875484382,0.9627231072176922,0.9468872069891043,0.9627231072176922,0.9468872069891043
1,0.524413,24.902411,78088,6599.999871,6599.999871,6600.001889,6599.99787,31,1577,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,0.07945649241010391,0.9627062133324055,0.9472359336715264,0.9627062133324055,0.9472359336715264
2,0.254261,47.001198,156168,6599.999935,6599.999935,6600.000944,6599.998935,31,1780,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,0.038524388429238984,0.9626945694285667,0.9474051437290589,0.9626945694285667,0.9474051437290589
3,0.127131,89.432243,312328,6599.999967,6599.999967,6600.000472,6599.999467,31,1842,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,0.019262271349728473,0.9626822386736903,0.9474747057438314,0.9626822386736903,0.9474747057438314
4,-0.063565,168.159927,624630,6600.00002,6600.00002,6600.000272,6599.999769,31,2125,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,-0.009631060209144185,0.962662502965732,0.9474795213430309,0.962662502965732,0.9474795213430309
5,-0.029796,10.943662,230377,6625.01949,6625.01949,6625.019616,6625.019365,15,159,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,-0.004497496117300553,1.01953868638106,0.9618348324505211,1.01953868638106,0.9618348324505211
6,-0.119185,10.142494,115181,6625.019505,6625.019505,6625.019757,6625.019255,15,6,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node3.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,-0.01799013502926826,1.0209354861341784,0.9458908280501899,1.0209354861341784,0.9458908280501899
7,-0.071511,164.664688,124920,8656.000016,8656.000016,8656.000268,8655.999765,53,1780,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,-0.008261436897635735,0.8241318200389989,0.905181507716357,0.8241318200389989,0.905181507716357
8,-0.143022,82.971802,62456,8656.000032,8656.000032,8656.000536,8655.999531,53,1780,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,-0.016522873283703783,0.8241374921183457,0.9051633560142959,0.8241374921183457,0.9051633560142959
9,-0.309881,41.916805,31224,8656.000064,8656.000064,8656.001072,8655.999063,53,1757,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-01-04:44:33/fil_59884_17225_248799804_trappist1_0001/seti-node8.0/fil_59884_17225_248799804_trappist1_0001-beam0001.fil,-0.03579955656456509,0.8241467274369257,0.9051238035278694,0.8241467274369257,0.9051238035278694
