,Drift_Rate,SNR,Index,Uncorrected_Frequency,Corrected_Frequency,freq_start,freq_end,Coarse_Channel_Number,Full_number_of_hits,dat_name,fil_0000,fil_0001,normalized_dr,SNR_ratio_0001,0000_x_0001,SNR_ratio,x
10,0.019864,358.98938,1249345,8888.999934,8888.999934,8889.000061,8888.999809,41,18190,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.002234672051263922,0.3837745053882331,0.8108984534850712,0.3837745053882331,0.8108984534850712
11,-0.262207,118.0215,156161,8888.999991,8888.999991,8889.001,8888.998991,41,1240,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.029497915457541293,0.36632326670773374,0.8096213132571605,0.36632326670773374,0.8096213132571605
12,-7.882093,26.224848,9749,8889.001408,8889.001408,8889.017546,8888.985399,41,62,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.8867226281431845,0.3665070137830681,0.8092855013741215,0.3665070137830681,0.8092855013741215
13,-9.40766,17.205772,4873,8889.001793,8889.001793,8889.034067,8888.969774,41,62,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-1.0583444645493447,0.3664827329543818,0.8091314712607569,0.3664827329543818,0.8091314712607569
14,0.699218,11.913313,15637,9255.999663,9255.999663,9256.00168,9255.997662,53,242,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.0755421211202719,1.0113185371810436,0.9634160516139628,1.0113185371810436,0.9634160516139628
15,0.067538,88.842918,124944,9255.999967,9255.999967,9256.00022,9255.999717,53,1780,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.00729667225526492,1.0113273388337651,0.9639755744385591,1.0113273388337651,0.9639755744385591
16,-0.127131,44.95837,62447,9256.000068,9256.000068,9256.000572,9255.999567,53,1780,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.013734981865124282,1.0113266378480594,0.9638963205913722,1.0113266378480594,0.9638963205913722
17,-0.286044,22.957533,31213,9256.000152,9256.000152,9256.00116,9255.999151,53,1143,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.030903626204817805,1.0113255167848902,0.9637346189029021,1.0113255167848902,0.9637346189029021
18,0.123158,11.004911,407191,9333.435148,9333.435148,9333.4354,9333.434898,1,10934,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.013195355699360173,2.761763655009013,0.8575543076116073,2.761763655009013,0.8575543076116073
19,0.05562,11.426859,814370,9333.43516,9333.43516,9333.435286,9333.435035,1,42452,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.005959220618739286,3.4020665120036075,0.9116724499633162,3.4020665120036075,0.9116724499633162
